journal_id:START_ID(journal),paper_id:END_ID(paper),:TYPE
6092eb62e87154c96f6642969984df334731d3ab,1fe645c8d05d960dd85d08eaaa5574100db591c8,has_paper
19ec223414598012c79e1257098d10a983aaa920,579fdd7af308a5a9b022f5a38c69b6d1fd3c6224,has_paper
e87cf289d88c1d63bec4f294a695fe092262be30,14241795a7c1b25b0db12f42473176d5af9a2eca,has_paper
dc8769707eace55e9b51f588da024ed6e4e23127,d7cb7c135b8d3727e626d35b7b1ec92f2400e78b,has_paper
2751758e49d5ec776e9ee34f2d1e63d3ccdaf4ee,479ade65b7f5219559c4d8cc48c1c2f90bda977f,has_paper
123fd4b8b4fee7db58bac5a81ea4158928940f25,092f8369d5451833e3d627aa6e2376f08bbee6c7,has_paper
ba9d1714ab24ba9735bd67dd59d00aee8d3b8c21,5ca1f9264b5b1d8fa8c75b95d4d49ae09879cc80,has_paper
9d39a3d2b17672af9b363dc5cf1770e5695361fa,216212c97f1f77e62f16edc2e18261a0d45a8da2,has_paper
8f9354104e8ffb5212c386ca7fcc0d7eb017ed46,de707f97b534ca340482600ed1f008b20d7b1b8e,has_paper
123fd4b8b4fee7db58bac5a81ea4158928940f25,2260e7bc70dccb0761daf5aa6a7a68059cf694c6,has_paper
f345b45c306c9917dd0c30ef4eb13e621141c69a,96db8abedfc8eec039a5512c89ce69f6801c3f84,has_paper
c615590cdf594c7845b6e29051b392a25b702d75,c0e738caa84eb192d6db36ffcd5ea3ddc76cb89f,has_paper
6eab669434cc5bf1d914a7bc1d7603ad36847fc6,1276f1f121a44ed98a0217e53d0bb4a0fadf8ee0,has_paper
b05207b4f0753788e23f89b974f2a65f3afaf624,0fa74d92a26432cab5d2f1f445d8c593cc5b3c41,has_paper
6c29f6ecf30ebddc87b1936d07cdd0153f5285fa,352fc70d79c0668a5a7583538fe0167c1fd785d1,has_paper
0cdc2fbce75895ea2be6e03f906fccef758c7d21,6c808957fb64cb1e22530a3aa2ab5a3da641b2f0,has_paper
48400ebbba61ae82e0a842b9c34960847b12354f,f12a115ffa060877bd7a292df682bac1b99a8193,has_paper
36233091cef6f7d0b497517ea57de695c595e685,ba8577fbe95f71f3482edea00b9e7579bc360799,has_paper
f3c0aea0322716ee969cd5b06b002c9c0fdab773,98c40c0b8449c8bf8d891cef45c079ce834a8e04,has_paper
49762f69a44bd7d47e31879468db9f7bd931f795,7e8472520ff77977f27f9fa3935e4ed430079016,has_paper
6f5d738ce3769b68f6f0af161a54c3ee34763414,31b43767440cb19003d22bd82c936624b2cdcf75,has_paper
f93a8a7e8826a72ada947a0570e973eb1e453fec,7a5aa39108c02e8baa292d13d13466c52a2c96e7,has_paper
466a180af86cf1148650b1ead12064b1c73da0e8,c4c4622a69c2a7891eb504a87793ad471e9fea55,has_paper
17006c5ba456ade73665c0d7b68971a8b375c0d2,d3f5f8733398c14adde7dd0ee67923c9fe4a3735,has_paper
